שאלה	1095106560
 -	919561
 מה	983072
 גורם	2251826140086272
 לסרטן	2166751296
 בלוטת	2168848384
 התריס	1093009412
 ?	917641
 
מה	983072
 גורם	2251826140086272
 לסרטן	2166751296
 בלוטת	2168848384
 התריס	1093009412
 ?	917641
 
<	917512
 EXPERT	1507328
 >	917505
 המומחים	1109786628
 אינם	1125926116720640
 יודעים	2251826156863488
 את	262144
 הגורם	1093009412
 המדויק	1092681732
 ל	524288
 סרטן	2166751232
 בלוטת	2168848384
 התריס	1093009412
 אולם	18014398509678592
 הם	72057594476822528
 יודעים	2251826156863488
 שאנשים	1109786880
 שנחשפו	4503608660656384
 למנות	1111883840
 גבוהות	1111556096
 של	1966080
 קרינה	1095106560
 –	917504
 בין	524288
 אם	18014398509678592
 מן	524288
 הסביבה	1095106564
 או	18014398509678592
 מטיפול	1093009472
 רפואי	1092681728
 –	917504
 נמצאים	4503625970548736
 בסיכון	1093009472
 גבוה	1092681728
 יותר	131072
 ללקות	2251851354144768
 בסרטן	2166751296
 בלוטת	2168848384
 התריס	1093009412
 .	917632
 
צילום	2166751232
 שיניים	1111883776
 מדי	131072
 פעם	131072
 לא	327680
 יגביר	6755434223173632
 את	262144
 הסיכון	1093009412
 שלכם	79920753410048
 ללקות	2251851354144768
 בסרטן	2166751296
 בלוטת	2168848384
 התריס	1093009412
 אולם	18014398509678592
 טיפול	2166751232
 הקרנות	1111883780
 קודם	131072
 בראש	1093009472
 ,	917513
 בצוואר	1093009476
 או	18014398509678592
 בחזה	1093009472
 (	917512
 במיוחד	131072
 במהלך	2166751296
 הילדות	1095106564
 )	917505
 עלול	557056000
 להגביר	6755450981515264
 את	262144
 הסיכון	1093009412
 שלכם	79920753410048
 ללקות	2251851354144768
 בסרטן	2166751296
 בלוטת	2168848384
 התריס	1093009412
 .	917632
 
הקרנות	1111883780
 שימשו	11259008101711872
 משנות	2185625664
 ה	458752
 -	919561
 20	475136
 עד	524288
 שנות	2185625600
 ה	458752
 -	919561
 50	475136
 לטיפול	1093009472
 בבעיות	1111883840
 כמו	36028797019160576
 אקנה	2251834331561984
 ושקדים	1109786626
 מוגדלים	1109458944
 ,	917513
 אולם	18014398509678592
 שיטה	1095106560
 זו	144115188500070400
 אינה	1125926102040576
 משמשת	11259025396924416
 עוד	131072
 לטיפול	1093009472
 במצבים	1109786688
 שאינם	1125926116720896
 סרטניים	1109458944
 .	917632
 
סוג	1093009408
 נדיר	1092681728
 אחד	1093083136
 של	1966080
 סרטן	2166751232
 בלוטת	2168848384
 התריס	1093009412
 ,	917513
 המכונה	13510800513302532
 סרטן	2166751232
 בלוטת	2168848384
 התריס	1093009412
 של	1966080
 התעלה	1095106564
 הלשדית	1094778884
 ,	917513
 או	18014398509678592
 סרטן	2166751232
 בלוטת	2168848384
 התריס	1093009412
 מדולארי	1092681792
 (	917512
 MTC	1507328
 )	917505
 ,	917513
 עובר	2251826140086272
 במשפחות	1111883840
 .	917632
 
ייתכן	131072
 שירשתם	11259007963299840
 גן	1093009408
 ספציפי	1092681728
 המגדיל	6755401072246788
 את	262144
 הסיכון	1093009412
 שלכם	79920753410048
 לפתוח	1092681792
 MTC	1507328
 .	917632
 
<	917512
 /	919680
 EXPERT	1507328
 >	917505
 
